start_s,end_s,midi_or_hz,confidence
19.714,19.814,222.56,0.89
19.737,19.837,222.56,0.89
19.76,19.86,222.56,0.89
19.783,19.883,222.56,0.83
19.807,19.907,225.14,0.55
19.83,19.93,229.08,0.28
19.853,19.953,237.16,0.09
19.876,19.976,242.7,0.07
19.9,20.0,251.26,0.04
19.923,20.023,255.65,0.07
19.946,20.046,260.12,0.08
19.969,20.069,261.63,0.15
19.992,20.092,263.14,0.18
20.016,20.116,263.14,0.32
20.039,20.139,263.14,0.32
20.062,20.162,263.14,0.48
20.085,20.185,264.67,0.48
20.108,20.208,264.67,0.69
20.132,20.232,264.67,0.69
20.155,20.255,263.14,0.69
20.178,20.278,263.14,0.62
20.201,20.301,263.14,0.69
20.225,20.325,263.14,0.76
20.248,20.348,263.14,0.69
20.271,20.371,263.14,0.69
20.294,20.394,263.14,0.62
20.317,20.417,263.14,0.48
20.341,20.441,263.14,0.48
20.364,20.464,263.14,0.32
20.387,20.487,264.67,0.18
20.41,20.51,264.67,0.13
20.434,20.534,264.67,0.01
20.457,20.557,290.29,0.01
20.48,20.58,293.66,0.01
20.503,20.603,295.37,0.01
20.526,20.626,295.37,0.02
20.55,20.65,295.37,0.02
20.573,20.673,295.37,0.02
20.596,20.696,297.08,0.03
20.619,20.719,297.08,0.06
20.643,20.743,297.08,0.11
20.666,20.766,297.08,0.15
20.689,20.789,297.08,0.13
20.712,20.812,297.08,0.15
20.735,20.835,295.37,0.21
20.759,20.859,295.37,0.21
20.782,20.882,295.37,0.28
20.805,20.905,295.37,0.24
20.828,20.928,295.37,0.18
20.852,20.952,295.37,0.15
20.875,20.975,293.66,0.09
20.898,20.998,295.37,0.05
20.921,21.021,295.37,0.03
20.944,21.044,297.08,0.02
20.968,21.068,298.8,0.01
20.991,21.091,298.8,0.01
21.014,21.114,300.53,0.01
21.037,21.137,302.27,0.01
21.107,21.207,349.23,0.01
21.13,21.23,351.25,0.01
21.153,21.253,353.29,0.03
21.177,21.277,353.29,0.13
21.2,21.3,353.29,0.32
21.223,21.323,353.29,0.55
21.246,21.346,353.29,0.55
21.269,21.369,351.25,0.62
21.293,21.393,351.25,0.76
21.316,21.416,351.25,0.76
21.339,21.439,351.25,0.69
21.362,21.462,351.25,0.43
21.386,21.486,349.23,0.15
21.409,21.509,349.23,0.03
21.432,21.532,347.22,0.01
21.711,21.811,295.37,0.01
21.734,21.834,297.08,0.01
21.757,21.857,297.08,0.01
21.78,21.88,297.08,0.02
21.804,21.904,297.08,0.02
21.827,21.927,298.8,0.03
21.85,21.95,298.8,0.03
21.873,21.973,298.8,0.08
21.896,21.996,298.8,0.15
21.92,22.02,298.8,0.28
21.943,22.043,298.8,0.28
21.966,22.066,298.8,0.24
21.989,22.089,298.8,0.32
22.013,22.113,298.8,0.37
22.036,22.136,298.8,0.48
22.059,22.159,298.8,0.43
22.082,22.182,298.8,0.48
22.105,22.205,298.8,0.48
22.129,22.229,298.8,0.55
22.152,22.252,298.8,0.55
22.175,22.275,298.8,0.55
22.198,22.298,298.8,0.62
22.221,22.321,298.8,0.62
22.245,22.345,298.8,0.55
22.268,22.368,298.8,0.62
22.291,22.391,298.8,0.62
22.314,22.414,298.8,0.62
22.338,22.438,298.8,0.69
22.361,22.461,298.8,0.69
22.384,22.484,298.8,0.69
22.407,22.507,298.8,0.76
22.43,22.53,298.8,0.76
22.454,22.554,298.8,0.76
22.477,22.577,298.8,0.76
22.5,22.6,298.8,0.76
22.523,22.623,298.8,0.82
22.547,22.647,298.8,0.82
22.57,22.67,298.8,0.82
22.593,22.693,298.8,0.82
22.616,22.716,298.8,0.75
22.639,22.739,298.8,0.82
22.663,22.763,298.8,0.82
22.686,22.786,298.8,0.82
22.709,22.809,298.8,0.75
22.732,22.832,298.8,0.75
22.756,22.856,298.8,0.75
22.779,22.879,298.8,0.75
22.802,22.902,298.8,0.75
22.825,22.925,298.8,0.75
22.848,22.948,298.8,0.68
22.872,22.972,298.8,0.55
22.895,22.995,298.8,0.37
22.918,23.018,298.8,0.32
22.941,23.041,298.8,0.18
22.965,23.065,298.8,0.09
22.988,23.088,298.8,0.01
23.011,23.111,298.8,0.02
23.034,23.134,298.8,0.02
23.057,23.157,298.8,0.03
23.081,23.181,298.8,0.08
23.104,23.204,298.8,0.09
23.127,23.227,298.8,0.15
23.15,23.25,298.8,0.21
23.174,23.274,298.8,0.37
23.197,23.297,298.8,0.48
23.22,23.32,298.8,0.55
23.243,23.343,297.08,0.48
23.266,23.366,297.08,0.55
23.29,23.39,297.08,0.62
23.313,23.413,297.08,0.62
23.336,23.436,297.08,0.55
23.359,23.459,297.08,0.48
23.382,23.482,297.08,0.43
23.406,23.506,297.08,0.43
23.429,23.529,297.08,0.43
23.452,23.552,295.37,0.32
23.475,23.575,295.37,0.28
23.499,23.599,293.66,0.24
23.522,23.622,293.66,0.18
23.545,23.645,291.97,0.15
23.568,23.668,291.97,0.02
23.591,23.691,263.14,0.01
23.615,23.715,263.14,0.05
23.638,23.738,263.14,0.18
23.661,23.761,263.14,0.21
23.684,23.784,263.14,0.32
23.708,23.808,263.14,0.37
23.731,23.831,263.14,0.43
23.754,23.854,264.67,0.62
23.777,23.877,264.67,0.62
23.8,23.9,264.67,0.69
23.824,23.924,264.67,0.69
23.847,23.947,264.67,0.83
23.87,23.97,264.67,0.83
23.893,23.993,264.67,0.83
23.917,24.017,264.67,0.83
23.94,24.04,264.67,0.89
23.963,24.063,264.67,0.83
23.986,24.086,264.67,0.89
24.009,24.109,264.67,0.83
24.033,24.133,264.67,0.83
24.056,24.156,264.67,0.83
24.079,24.179,264.67,0.76
24.102,24.202,264.67,0.76
24.126,24.226,263.14,0.62
24.149,24.249,263.14,0.48
24.172,24.272,261.63,0.48
24.195,24.295,260.12,0.43
24.218,24.318,257.13,0.37
24.242,24.342,255.65,0.03
24.265,24.365,238.53,0.02
24.288,24.388,223.85,0.06
24.311,24.411,223.85,0.24
24.335,24.435,222.56,0.37
24.358,24.458,222.56,0.55
24.381,24.481,222.56,0.62
24.404,24.504,222.56,0.76
24.427,24.527,222.56,0.83
24.451,24.551,222.56,0.89
24.474,24.574,222.56,0.89
24.497,24.597,223.85,0.89
24.52,24.62,223.85,0.89
24.543,24.643,223.85,0.95
24.567,24.667,223.85,0.95
24.59,24.69,225.14,0.95
24.613,24.713,225.14,0.95
24.636,24.736,225.14,0.95
24.66,24.76,226.45,0.95
24.683,24.783,226.45,0.95
24.706,24.806,226.45,0.95
24.729,24.829,226.45,0.89
24.752,24.852,226.45,0.83
24.776,24.876,227.76,0.76
24.799,24.899,226.45,0.62
24.822,24.922,226.45,0.55
24.845,24.945,226.45,0.43
24.869,24.969,226.45,0.43
24.892,24.992,226.45,0.62
24.915,25.015,226.45,0.55
24.938,25.038,226.45,0.69
24.961,25.061,226.45,0.76
24.985,25.085,226.45,0.76
25.008,25.108,226.45,0.83
25.031,25.131,225.14,0.89
25.054,25.154,225.14,0.83
25.078,25.178,225.14,0.83
25.101,25.201,225.14,0.83
25.124,25.224,225.14,0.83
25.147,25.247,225.14,0.76
25.17,25.27,223.85,0.62
25.194,25.294,223.85,0.62
25.217,25.317,223.85,0.76
25.24,25.34,222.56,0.69
25.263,25.363,222.56,0.69
25.287,25.387,222.56,0.62
25.31,25.41,222.56,0.69
25.333,25.433,222.56,0.76
25.356,25.456,221.27,0.83
25.379,25.479,221.27,0.89
25.403,25.503,222.56,0.83
25.426,25.526,222.56,0.89
25.449,25.549,222.56,0.95
25.472,25.572,222.56,0.95
25.496,25.596,223.85,0.89
25.519,25.619,223.85,0.89
25.542,25.642,223.85,0.83
25.565,25.665,223.85,0.89
25.588,25.688,223.85,0.83
25.612,25.712,223.85,0.76
25.635,25.735,225.14,0.55
25.658,25.758,218.73,0.11
25.681,25.781,216.22,0.03
25.704,25.804,200.58,0.01
25.728,25.828,199.42,0.01
25.751,25.851,199.42,0.02
25.774,25.874,199.42,0.03
25.797,25.897,200.58,0.03
25.821,25.921,200.58,0.09
25.844,25.944,200.58,0.15
25.867,25.967,200.58,0.13
25.89,25.99,200.58,0.11
25.913,26.013,200.58,0.18
25.937,26.037,200.58,0.18
25.96,26.06,200.58,0.11
25.983,26.083,200.58,0.13
26.006,26.106,200.58,0.13
26.03,26.13,200.58,0.09
26.053,26.153,200.58,0.09
26.076,26.176,200.58,0.08
26.099,26.199,200.58,0.08
26.122,26.222,200.58,0.08
26.146,26.246,200.58,0.09
26.169,26.269,200.58,0.09
26.192,26.292,200.58,0.09
26.215,26.315,200.58,0.13
26.239,26.339,200.58,0.11
26.262,26.362,200.58,0.11
26.285,26.385,199.42,0.15
26.308,26.408,199.42,0.15
26.331,26.431,199.42,0.13
26.355,26.455,199.42,0.11
26.378,26.478,199.42,0.13
26.401,26.501,199.42,0.13
26.424,26.524,199.42,0.15
26.448,26.548,199.42,0.18
26.471,26.571,199.42,0.13
26.494,26.594,199.42,0.13
26.517,26.617,199.42,0.18
26.54,26.64,198.28,0.13
26.564,26.664,198.28,0.15
26.587,26.687,198.28,0.18
26.61,26.71,198.28,0.15
26.633,26.733,198.28,0.18
26.657,26.757,198.28,0.15
26.68,26.78,198.28,0.15
26.703,26.803,198.28,0.13
26.726,26.826,197.13,0.09
26.749,26.849,197.13,0.06
26.773,26.873,197.13,0.04
26.796,26.896,198.28,0.03
26.819,26.919,198.28,0.02
26.842,26.942,198.28,0.02
26.865,26.965,199.42,0.02
26.889,26.989,221.27,0.02
26.912,27.012,218.73,0.07
26.935,27.035,217.47,0.15
26.958,27.058,218.73,0.21
26.982,27.082,218.73,0.32
27.005,27.105,218.73,0.43
27.028,27.128,220.0,0.43
27.051,27.151,221.27,0.43
27.074,27.174,223.85,0.03
27.098,27.198,223.85,0.04
27.121,27.221,223.85,0.13
27.144,27.244,222.56,0.32
27.167,27.267,222.56,0.48
27.191,27.291,223.85,0.55
27.214,27.314,223.85,0.69
27.237,27.337,223.85,0.83
27.26,27.36,223.85,0.89
27.283,27.383,223.85,0.89
27.307,27.407,223.85,0.89
27.33,27.43,223.85,0.89
27.353,27.453,223.85,0.89
27.376,27.476,223.85,0.89
27.4,27.5,223.85,0.89
27.423,27.523,223.85,0.89
27.446,27.546,223.85,0.89
27.469,27.569,223.85,0.89
27.492,27.592,223.85,0.89
27.516,27.616,223.85,0.89
27.539,27.639,223.85,0.89
27.562,27.662,223.85,0.95
27.585,27.685,223.85,0.95
27.609,27.709,223.85,0.95
27.632,27.732,223.85,0.95
27.655,27.755,223.85,0.95
27.678,27.778,223.85,0.95
27.701,27.801,223.85,0.89
27.725,27.825,223.85,0.89
27.748,27.848,223.85,0.89
27.771,27.871,223.85,0.83
27.794,27.894,223.85,0.76
27.818,27.918,223.85,0.76
27.841,27.941,223.85,0.83
27.864,27.964,223.85,0.83
27.887,27.987,223.85,0.83
27.91,28.01,223.85,0.89
27.934,28.034,223.85,0.89
27.957,28.057,223.85,0.89
27.98,28.08,223.85,0.89
28.003,28.103,223.85,0.89
28.026,28.126,223.85,0.89
28.05,28.15,222.56,0.89
28.073,28.173,222.56,0.89
28.096,28.196,222.56,0.83
28.119,28.219,222.56,0.89
28.143,28.243,222.56,0.89
28.166,28.266,222.56,0.89
28.189,28.289,222.56,0.95
28.212,28.312,222.56,0.95
28.235,28.335,222.56,0.95
28.259,28.359,222.56,0.98
28.282,28.382,222.56,0.89
28.305,28.405,222.56,0.95
28.328,28.428,222.56,0.89
28.352,28.452,223.85,0.89
28.375,28.475,222.56,0.83
28.398,28.498,222.56,0.76
28.421,28.521,223.85,0.69
28.444,28.544,223.85,0.28
28.468,28.568,222.56,0.15
28.491,28.591,222.56,0.06
28.514,28.614,221.27,0.06
28.63,28.73,295.37,0.03
28.653,28.753,295.37,0.03
28.677,28.777,295.37,0.04
28.7,28.8,295.37,0.03
28.723,28.823,295.37,0.07
28.746,28.846,295.37,0.13
28.77,28.87,293.66,0.15
28.793,28.893,291.97,0.18
28.816,28.916,290.29,0.24
28.839,28.939,288.62,0.21
28.862,28.962,286.96,0.15
28.886,28.986,286.96,0.11
28.909,29.009,282.03,0.09
28.932,29.032,282.03,0.05
28.955,29.055,280.4,0.04
28.979,29.079,280.4,0.03
29.002,29.102,282.03,0.02
29.025,29.125,283.66,0.01
29.048,29.148,267.74,0.01
29.071,29.171,263.14,0.03
29.095,29.195,263.14,0.08
29.118,29.218,263.14,0.24
29.141,29.241,263.14,0.24
29.164,29.264,263.14,0.43
29.187,29.287,263.14,0.48
29.211,29.311,263.14,0.55
29.234,29.334,263.14,0.69
29.257,29.357,263.14,0.76
29.28,29.38,263.14,0.76
29.304,29.404,263.14,0.76
29.327,29.427,263.14,0.83
29.35,29.45,263.14,0.83
29.373,29.473,263.14,0.69
29.396,29.496,263.14,0.62
29.42,29.52,261.63,0.62
29.443,29.543,261.63,0.62
29.466,29.566,261.63,0.55
29.489,29.589,260.12,0.43
29.513,29.613,257.13,0.43
29.536,29.636,254.18,0.37
29.559,29.659,252.71,0.37
29.582,29.682,251.26,0.32
29.605,29.705,249.81,0.24
29.629,29.729,248.37,0.21
29.652,29.752,248.37,0.18
29.675,29.775,248.37,0.11
29.698,29.798,246.94,0.07
29.722,29.822,245.52,0.03
29.745,29.845,235.79,0.01
29.768,29.868,220.0,0.01
29.791,29.891,220.0,0.04
29.814,29.914,221.27,0.15
29.838,29.938,221.27,0.24
29.861,29.961,222.56,0.37
29.884,29.984,222.56,0.55
29.907,30.007,222.56,0.62
29.931,30.031,223.85,0.76
29.954,30.054,223.85,0.89
29.977,30.077,225.14,0.89
30.0,30.1,225.14,0.89
30.023,30.123,225.14,0.89
30.047,30.147,225.14,0.89
30.07,30.17,225.14,0.89
30.093,30.193,225.14,0.89
30.116,30.216,225.14,0.89
30.14,30.24,225.14,0.95
30.163,30.263,225.14,0.89
30.186,30.286,225.14,0.89
30.209,30.309,225.14,0.89
30.232,30.332,225.14,0.89
30.256,30.356,225.14,0.89
30.279,30.379,223.85,0.83
30.302,30.402,225.14,0.83
30.325,30.425,223.85,0.89
30.348,30.448,223.85,0.89
30.372,30.472,223.85,0.89
30.395,30.495,223.85,0.83
30.418,30.518,223.85,0.89
30.441,30.541,223.85,0.83
30.465,30.565,223.85,0.89
30.488,30.588,223.85,0.83
30.511,30.611,223.85,0.83
30.534,30.634,223.85,0.83
30.557,30.657,223.85,0.83
30.581,30.681,222.56,0.83
30.604,30.704,222.56,0.89
30.627,30.727,222.56,0.89
30.65,30.75,222.56,0.89
30.674,30.774,222.56,0.89
30.697,30.797,222.56,0.89
30.72,30.82,222.56,0.89
30.743,30.843,222.56,0.95
30.766,30.866,222.56,0.95
30.79,30.89,222.56,0.95
30.813,30.913,222.56,0.95
30.836,30.936,222.56,0.95
30.859,30.959,222.56,0.95
30.883,30.983,222.56,0.95
30.906,31.006,222.56,0.95
30.929,31.029,222.56,0.89
30.952,31.052,222.56,0.89
30.975,31.075,223.85,0.83
30.999,31.099,223.85,0.69
31.022,31.122,223.85,0.48
31.045,31.145,223.85,0.28
31.068,31.168,238.53,0.01
31.092,31.192,263.14,0.03
31.115,31.215,263.14,0.13
31.138,31.238,264.67,0.28
31.161,31.261,264.67,0.37
31.184,31.284,264.67,0.55
31.208,31.308,264.67,0.62
31.231,31.331,264.67,0.69
31.254,31.354,264.67,0.83
31.277,31.377,264.67,0.83
31.3,31.4,264.67,0.83
31.324,31.424,264.67,0.89
31.347,31.447,264.67,0.89
31.37,31.47,264.67,0.89
31.393,31.493,264.67,0.83
31.417,31.517,264.67,0.89
31.44,31.54,264.67,0.83
31.463,31.563,264.67,0.69
31.486,31.586,264.67,0.55
31.509,31.609,264.67,0.55
31.533,31.633,264.67,0.32
31.556,31.656,263.14,0.24
31.579,31.679,261.63,0.21
31.602,31.702,258.62,0.21
31.626,31.726,252.71,0.15
31.649,31.749,245.52,0.15
31.672,31.772,238.53,0.15
31.695,31.795,231.74,0.24
31.718,31.818,227.76,0.32
31.742,31.842,225.14,0.43
31.765,31.865,223.85,0.48
31.788,31.888,223.85,0.62
31.811,31.911,223.85,0.62
31.835,31.935,223.85,0.69
31.858,31.958,222.56,0.83
31.881,31.981,222.56,0.89
31.904,32.004,222.56,0.89
31.927,32.027,223.85,0.89
31.951,32.051,223.85,0.83
31.974,32.074,223.85,0.89
31.997,32.097,223.85,0.89
32.02,32.12,223.85,0.89
32.044,32.144,223.85,0.76
32.067,32.167,225.14,0.83
32.09,32.19,225.14,0.76
32.113,32.213,225.14,0.83
32.136,32.236,225.14,0.76
32.16,32.26,225.14,0.62
32.183,32.283,225.14,0.62
32.206,32.306,225.14,0.62
32.229,32.329,225.14,0.62
32.253,32.353,225.14,0.55
32.276,32.376,225.14,0.37
32.299,32.399,225.14,0.43
32.322,32.422,222.56,0.62
32.345,32.445,222.56,0.62
32.369,32.469,222.56,0.62
32.392,32.492,222.56,0.62
32.415,32.515,222.56,0.55
32.438,32.538,222.56,0.62
32.461,32.561,221.27,0.48
32.485,32.585,221.27,0.43
32.508,32.608,223.85,0.43
32.531,32.631,225.14,0.32
32.554,32.654,221.27,0.24
32.578,32.678,220.0,0.15
32.601,32.701,220.0,0.13
32.624,32.724,218.73,0.11
32.647,32.747,217.47,0.08
32.67,32.77,213.74,0.05
32.694,32.794,211.28,0.02
32.717,32.817,211.28,0.03
32.74,32.84,211.28,0.03
32.763,32.863,211.28,0.02
32.787,32.887,208.86,0.01
32.81,32.91,207.65,0.01
32.833,32.933,207.65,0.01
32.856,32.956,208.86,0.01
32.879,32.979,207.65,0.01
32.903,33.003,205.27,0.01
32.926,33.026,202.91,0.01
32.949,33.049,201.74,0.01
32.972,33.072,202.91,0.01
33.553,33.653,174.61,0.01
33.576,33.676,174.61,0.01
33.599,33.699,174.61,0.01
33.622,33.722,174.61,0.02
33.646,33.746,174.61,0.02
33.669,33.769,174.61,0.05
33.692,33.792,174.61,0.11
33.715,33.815,174.61,0.13
33.739,33.839,174.61,0.11
33.762,33.862,174.61,0.09
33.785,33.885,174.61,0.11
33.808,33.908,174.61,0.13
33.831,33.931,174.61,0.18
33.855,33.955,174.61,0.24
33.878,33.978,174.61,0.21
33.901,34.001,174.61,0.24
33.924,34.024,174.61,0.32
33.948,34.048,174.61,0.28
33.971,34.071,174.61,0.24
33.994,34.094,174.61,0.21
34.017,34.117,174.61,0.18
34.04,34.14,174.61,0.18
34.064,34.164,174.61,0.21
34.087,34.187,174.61,0.21
34.11,34.21,174.61,0.21
34.133,34.233,174.61,0.24
34.157,34.257,174.61,0.32
34.18,34.28,174.61,0.32
34.203,34.303,174.61,0.28
34.226,34.326,174.61,0.24
34.249,34.349,174.61,0.21
34.273,34.373,174.61,0.21
34.296,34.396,174.61,0.18
34.319,34.419,174.61,0.15
34.342,34.442,174.61,0.15
34.366,34.466,174.61,0.09
34.389,34.489,174.61,0.18
34.412,34.512,174.61,0.21
34.435,34.535,174.61,0.21
34.458,34.558,174.61,0.28
34.482,34.582,174.61,0.24
34.505,34.605,174.61,0.21
34.528,34.628,174.61,0.18
34.551,34.651,174.61,0.32
34.575,34.675,174.61,0.28
34.598,34.698,174.61,0.24
34.621,34.721,174.61,0.21
34.644,34.744,174.61,0.13
34.667,34.767,174.61,0.13
34.691,34.791,174.61,0.09
34.714,34.814,174.61,0.09
34.737,34.837,174.61,0.06
34.76,34.86,174.61,0.05
34.783,34.883,174.61,0.05
34.807,34.907,174.61,0.08
34.83,34.93,174.61,0.11
34.853,34.953,174.61,0.13
34.876,34.976,174.61,0.13
34.9,35.0,174.61,0.15
34.923,35.023,174.61,0.15
34.946,35.046,174.61,0.11
34.969,35.069,174.61,0.09
34.992,35.092,174.61,0.09
35.016,35.116,174.61,0.09
35.039,35.139,174.61,0.09
35.062,35.162,174.61,0.11
35.085,35.185,174.61,0.11
35.109,35.209,174.61,0.08
35.132,35.232,174.61,0.09
35.155,35.255,174.61,0.11
35.178,35.278,174.61,0.08
35.201,35.301,174.61,0.09
35.225,35.325,174.61,0.08
35.248,35.348,174.61,0.07
35.271,35.371,174.61,0.07
35.294,35.394,174.61,0.07
35.318,35.418,174.61,0.05
35.341,35.441,174.61,0.03
35.364,35.464,174.61,0.03
35.503,35.603,87.31,0.02
35.527,35.627,87.31,0.01
35.55,35.65,87.31,0.01
35.573,35.673,87.31,0.01
35.596,35.696,87.31,0.01
35.619,35.719,87.31,0.02
35.643,35.743,87.31,0.01
35.666,35.766,87.31,0.01
35.689,35.789,87.31,0.01
35.712,35.812,87.31,0.01
35.736,35.836,87.31,0.01
35.759,35.859,87.31,0.01
35.782,35.882,87.31,0.01
35.805,35.905,87.31,0.01
35.828,35.928,87.31,0.01
35.852,35.952,87.31,0.01
35.875,35.975,87.31,0.01
35.898,35.998,87.31,0.02
35.921,36.021,87.31,0.02
35.944,36.044,87.31,0.02
35.968,36.068,87.31,0.03
35.991,36.091,87.31,0.03
36.014,36.114,87.31,0.03
36.037,36.137,87.31,0.01
36.061,36.161,87.31,0.01
36.084,36.184,87.31,0.01
36.107,36.207,87.31,0.01
36.13,36.23,87.31,0.01
36.153,36.253,87.31,0.01
36.177,36.277,87.31,0.01
36.2,36.3,87.31,0.01
36.223,36.323,87.31,0.01
36.641,36.741,222.56,0.01
36.664,36.764,222.56,0.01
36.688,36.788,222.56,0.08
36.711,36.811,222.56,0.32
36.734,36.834,222.56,0.48
36.757,36.857,222.56,0.48
36.78,36.88,222.56,0.69
36.804,36.904,222.56,0.76
36.827,36.927,222.56,0.83
36.85,36.95,222.56,0.89
36.873,36.973,222.56,0.89
36.897,36.997,222.56,0.89
36.92,37.02,222.56,0.89
36.943,37.043,222.56,0.89
36.966,37.066,223.85,0.89
36.989,37.089,223.85,0.95
37.013,37.113,223.85,0.95
37.036,37.136,223.85,0.95
37.059,37.159,223.85,0.95
37.082,37.182,223.85,0.95
37.105,37.205,223.85,0.95
37.129,37.229,223.85,0.95
37.152,37.252,223.85,0.95
37.175,37.275,223.85,0.89
37.198,37.298,223.85,0.83
37.222,37.322,223.85,0.83
37.245,37.345,222.56,0.89
37.268,37.368,222.56,0.89
37.291,37.391,223.85,0.89
37.314,37.414,223.85,0.89
37.338,37.438,223.85,0.95
37.361,37.461,222.56,0.95
37.384,37.484,222.56,0.95
37.407,37.507,223.85,0.89
37.431,37.531,223.85,0.95
37.454,37.554,223.85,0.89
37.477,37.577,223.85,0.95
37.5,37.6,223.85,0.95
37.523,37.623,223.85,0.89
37.547,37.647,223.85,0.89
37.57,37.67,223.85,0.89
37.593,37.693,223.85,0.95
37.616,37.716,223.85,0.89
37.64,37.74,223.85,0.89
37.663,37.763,223.85,0.89
37.686,37.786,223.85,0.89
37.709,37.809,223.85,0.83
37.732,37.832,223.85,0.76
37.756,37.856,223.85,0.76
37.779,37.879,223.85,0.76
37.802,37.902,223.85,0.69
37.825,37.925,225.14,0.55
37.849,37.949,225.14,0.43
37.872,37.972,225.14,0.48
37.895,37.995,225.14,0.55
37.918,38.018,225.14,0.62
37.941,38.041,225.14,0.62
37.965,38.065,225.14,0.69
37.988,38.088,225.14,0.83
38.011,38.111,225.14,0.83
38.034,38.134,225.14,0.89
38.058,38.158,225.14,0.89
38.081,38.181,225.14,0.89
38.104,38.204,225.14,0.89
38.127,38.227,225.14,0.89
38.15,38.25,225.14,0.95
38.174,38.274,225.14,0.95
38.197,38.297,225.14,0.95
38.22,38.32,225.14,0.95
38.243,38.343,225.14,0.95
38.266,38.366,225.14,0.95
38.29,38.39,225.14,0.95
38.313,38.413,225.14,0.89
38.336,38.436,225.14,0.89
38.359,38.459,225.14,0.89
38.383,38.483,225.14,0.89
38.406,38.506,225.14,0.89
38.429,38.529,225.14,0.89
38.452,38.552,223.85,0.89
38.475,38.575,223.85,0.83
38.499,38.599,223.85,0.69
38.522,38.622,223.85,0.69
38.545,38.645,223.85,0.62
38.568,38.668,223.85,0.69
38.592,38.692,223.85,0.69
38.615,38.715,223.85,0.76
38.638,38.738,223.85,0.83
38.661,38.761,223.85,0.89
38.684,38.784,223.85,0.89
38.708,38.808,223.85,0.89
38.731,38.831,223.85,0.89
38.754,38.854,223.85,0.89
38.777,38.877,223.85,0.89
38.801,38.901,223.85,0.95
38.824,38.924,223.85,0.89
38.847,38.947,222.56,0.95
38.87,38.97,222.56,0.89
38.893,38.993,222.56,0.89
38.917,39.017,222.56,0.89
38.94,39.04,222.56,0.95
38.963,39.063,221.27,0.95
